COUNTY_ID,COUNTY,NATURE_INC_CNT,SOCIAL_INC_CNT,INC_CNT,ENTRY_P_CNT,EXIT_P_CNT,ENTRY_ADDR_CNT,EXIT_ADDR_CNT,INFO_TIME
縣市代碼,縣市名稱,自然增加人數,社會增加人數,總增加人數,遷入人口數,遷出人口數,鄉鎮區內住址變更之遷入人口數,鄉鎮區內住址變更之遷出人口數,資料時間
65000,新北市,1681,10577,12258,173605,163028,123048,123048,"109Y"
63000,臺北市,1817,-44440,-42623,117562,162002,73529,73529,"109Y"
68000,桃園市,8264,11506,19770,105073,93567,81309,81309,"109Y"
66000,臺中市,2107,3419,5526,123707,120288,78266,78266,"109Y"
67000,臺南市,-4544,-1445,-5989,68800,70245,41776,41776,"109Y"
64000,高雄市,-2783,-4483,-7266,113084,117567,69269,69269,"109Y"
10002,宜蘭縣,-1032,-59,-1091,17550,17609,12209,12209,"109Y"
10004,新竹縣,511,6331,6842,25863,19532,17704,17704,"109Y"
10005,苗栗縣,-2215,-654,-2869,16129,16783,14197,14197,"109Y"
10007,彰化縣,1704,-7836,-6132,31523,39359,26308,26308,"109Y"
10008,南投縣,-1595,-1685,-3280,13475,15160,13397,13397,"109Y"
10009,雲林縣,-3075,-1358,-4433,18635,19993,14690,14690,"109Y"
10010,嘉義縣,-2504,-1128,-3632,13760,14888,7521,7521,"109Y"
10013,屏東縣,-3955,-2571,-6526,25185,27756,16940,16940,"109Y"
10014,臺東縣,-942,-578,-1520,7179,7757,6889,6889,"109Y"
10015,花蓮縣,-997,-878,-1875,14281,15159,9891,9891,"109Y"
10016,澎湖縣,39,706,745,5190,4484,2825,2825,"109Y"
10017,基隆市,-1008,-308,-1316,16449,16757,9238,9238,"109Y"
10018,新竹市,980,1629,2609,20957,19328,14421,14421,"109Y"
10020,嘉義市,-672,-1013,-1685,10171,11184,7546,7546,"109Y"
09020,金門縣,266,146,412,6940,6794,2694,2694,"109Y"
09007,連江縣,46,144,190,1133,989,371,371,"109Y"
