COUNTY_ID,COUNTY,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
縣市代碼,縣市名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
65000,新北市,95.43,2.51,1963.86,37.56,16.46,21.1,128.19,"109Y12M"
63000,臺北市,90.82,2.45,9574.76,47.68,19.55,28.13,143.86,"109Y12M"
68000,桃園市,98.23,2.68,1858.22,37.92,20.17,17.75,88.03,"109Y12M"
66000,臺中市,96.52,2.81,1273.55,38.18,19.34,18.84,97.42,"109Y12M"
67000,臺南市,99.24,2.66,855.48,39.69,16.65,23.04,138.39,"109Y12M"
64000,高雄市,97.33,2.47,937.02,39.6,16.31,23.29,142.74,"109Y12M"
10002,宜蘭縣,101.58,2.63,211.36,40.7,16.42,24.28,147.93,"109Y12M"
10004,新竹縣,104.29,2.77,399.83,40.96,22.7,18.26,80.43,"109Y12M"
10005,苗栗縣,106.35,2.81,298.07,41.33,17.08,24.25,142.0,"109Y12M"
10007,彰化縣,103.37,3.19,1178.96,41.42,17.87,23.54,131.73,"109Y12M"
10008,南投縣,104.51,2.73,119.53,41.49,15.1,26.39,174.78,"109Y12M"
10009,雲林縣,107.16,2.77,524.37,43.13,15.8,27.33,172.97,"109Y12M"
10010,嘉義縣,107.82,2.71,262.38,41.52,12.73,28.79,226.15,"109Y12M"
10013,屏東縣,103.85,2.79,292.79,39.61,14.47,25.14,173.76,"109Y12M"
10014,臺東縣,105.7,2.58,61.24,40.62,16.07,24.55,152.81,"109Y12M"
10015,花蓮縣,102.3,2.55,70.08,41.22,16.54,24.67,149.15,"109Y12M"
10016,澎湖縣,105.99,2.52,835.16,37.74,14.2,23.54,165.71,"109Y12M"
10017,基隆市,99.47,2.36,2768.76,38.36,14.11,24.24,171.76,"109Y12M"
10018,新竹市,97.39,2.64,4334.14,42.88,24.17,18.71,77.41,"109Y12M"
10020,嘉義市,93.69,2.63,4431.53,41.81,18.71,23.09,123.41,"109Y12M"
09020,金門縣,99.67,3.36,927.08,30.59,11.72,18.87,161.08,"109Y12M"
09007,連江縣,136.66,3.92,461.08,31.5,14.9,16.6,111.36,"109Y12M"
