COUNTY_ID,COUNTY,COLUMN1,COLUMN2,COLUMN3,COLUMN4,INFO_TIME
縣市代碼,縣市名稱,稅捐實徵淨額,平均每人稅賦,欠稅件數,欠稅金額,資料時間
65000,新北市,248143772.000000,61653.307162,34307.000000,302083622.000000,"109Y"
63000,臺北市,821241911.000000,313005.556022,19712.000000,181788473.000000,"109Y"
68000,桃園市,182665790.000000,80864.142277,22794.000000,218530840.000000,"109Y"
66000,臺中市,194388064.000000,68980.272702,23960.000000,162173242.000000,"109Y"
67000,臺南市,124494552.000000,66294.152839,16966.000000,111615396.000000,"109Y"
64000,高雄市,221428882.000000,79950.779996,26320.000000,188225900.000000,"109Y"
10002,宜蘭縣,15318860.000000,33769.317675,4832.000000,33396541.000000,"109Y"
10004,新竹縣,61366867.000000,108163.275486,5275.000000,34307879.000000,"109Y"
10005,苗栗縣,31290904.000000,57517.453718,5703.000000,40647378.000000,"109Y"
10007,彰化縣,43571222.000000,34315.182054,13046.000000,66920144.000000,"109Y"
10008,南投縣,10869396.000000,22071.094397,8382.000000,43079525.000000,"109Y"
10009,雲林縣,55000611.000000,80991.696971,9811.000000,50552460.000000,"109Y"
10010,嘉義縣,10565662.000000,21076.651167,5959.000000,34532698.000000,"109Y"
10013,屏東縣,25609122.000000,31386.766611,11715.000000,68229805.000000,"109Y"
10014,臺東縣,3468665.000000,16057.073155,5207.000000,26739514.000000,"109Y"
10015,花蓮縣,13921937.000000,42795.974295,5635.000000,31441384.000000,"109Y"
10016,澎湖縣,1246111.000000,11802.584782,380.000000,2193608.000000,"109Y"
10017,基隆市,67480095.000000,183252.800521,3966.000000,21390835.000000,"109Y"
10018,新竹市,130745729.000000,290476.672795,3722.000000,21771569.000000,"109Y"
10020,嘉義市,10016079.000000,37534.842935,2307.000000,14081312.000000,"109Y"
09020,金門縣,4112186.000000,29290.951699,1149.000000,8066415.000000,"109Y"
09007,連江縣,330506.000000,25068.719660,141.000000,1106899.000000,"109Y"
